dialogue,label,user
"Man, I worked hard. I worked so hard for this! I was after corporate constantly. I emailed Joe. I wrote letters. And, know who I end up owing this to is the Scranton strangler. Thank you. Thank you, Scranton strangler. I love you! You just took one more person’s breath away.",Ryan,Harsh
We got the van at a used car lot. We think it says “Alleluia Church of Scranton.” in Korean. It was either this or an old school bus with an owl living in it.,Pam,Harsh
Andy also hired a management consultant today. Oh no.,Pam,Harsh
"That's my white out. Get your own white out. Just... what's the matter with you? God. Okay, um, there was a girl from Dunder Mifflin. Who had a big, puttifflin. Mifflin, spifflin.",Michael,Harsh
"Stanley, are you listening to music?",Phyllis,Harsh
And I turned it down.,Michael,Harsh
Thank you.,Michael,Harsh
What does that mean?,Andy,Harsh
Michael! What’s going on?,Dwight,Harsh
"How long is this? Oh, Pam. Good work! Oop, wait, stop. Drawings.",Michael,Harsh
Do you think it’s a good idea?,Pam,Harsh
Happy birthday!,Michael,Harsh
I have Jim on the record saying that the vic-,Pam,Harsh
"A cute little religious type, someone who wears a uniform, or...",Michael,Harsh
You have new music?,Jim,Harsh
"Well, it depends. I mean, sometimes I find out things that are really sad.",Michael,Harsh
You have no idea.,Kelly,Harsh
I— Ok. How much is this going to cost?,Michael,Harsh
"But, what if?",Angela,Harsh
"Oh yay! Geography joke. Oh! Wow! Okay. Alright, let's all go home. Come on. See you all tamale.",Michael,Harsh
"Yeah right. It’s in Stamford, Connecticut. We have to leave like right now.",Andy,Harsh
I need to have her say…,Andy,Harsh
"Wha... here's the thing, Jim is the best man for this job, I think you should give it to him.",Dwight,Harsh
I think it should be Darryl.,Michael,Harsh
Sounds great.,Pam,Harsh
"Hey, you caught some of that?",Pam,Harsh
So we basically had no privacy for ten years.,Oscar,Harsh
"No, I’m just testing if he can hear.",Michael,Harsh
Ow!,Dwight,Harsh
"Oh, good.",Michael,Harsh
Welcome.,Jim,Harsh
Michael... you shouldn't be with someone who doesn't make you happy.,Pam,Harsh
Oh and thanks for the tip on the concerige. That was great. That was great. That was--- that was a---,Kevin,Harsh
OK.,Michael,Harsh
So happy hour.,Pam,Harsh
"""Look under the sink in the men's room.""",Dwight,Harsh
"You’re a real crumb bum, you know that?",Meredith,Harsh
Why are you fixated on this hypothetical transgendered attacker?,Oscar,Harsh
This is the hardest thing I've ever had to do in my entire life. I haven't had a very hard life.,Michael,Harsh
"Oh, yeah. You really shouldn't litter.",Pam,Harsh
Dunder-Mifflin. It's okay. I just did.,Pam,Harsh
I'm confused...,Pam,Harsh
"Last year, he walked 18 miles.",Pam,Harsh
"I can untie any knot. I'm serious. Name a knot, any knot. Go ahead.",Michael,Harsh
And this is Sam.,Michael,Harsh
That was an intelligent comment.,Pam,Harsh
"I can’t. I love them all too much. And, none of them fly. So that makes it harder.",Angela,Harsh
"Yep, get it.",Michael,Harsh
GIVE ME THE JOB! GIVE ME THE JOB!,Dwight,Harsh
What’s wrong?,Michael,Harsh
No! Oh my God!,Michael,Harsh
I wasn’t here that day.,Pam,Harsh
"Well, comedy's kinda my thing. Watch this, here's Curly Joe. Mmm. Me, me, me, me, me, me. Me, me, me, me, me, me. Oh, I forgot. Here we go. I'm Hitler. Right. Me, me, me, me, me, me. Curly Joe Hitler.",Michael,Harsh
"Look at these scones, Jim. Thousands of them. What kind of a person steals scones from a baby?",Meredith,Harsh
Can’t believe they let someone like you serve on a jury. Makes me question the whole judicial system.,Kelly,Harsh
No... Jim---,Michael,Harsh
Jelly beans.,Dwight,Harsh
We'll figure it out.,Michael,Harsh
Can I please leave? I have a rape flute.,Michael,Harsh
I don’t want to appear ungrateful for everything Sabre’s doing for us.,Andy,Harsh
"Ohh, god.",Michael,Harsh
Let me check. Oh nope! Clearly a hunter. Who knows how to throw an outfit together.,Dwight,Harsh
He hit the pole!,Pam,Harsh
"Yeah, but I never said you had nothing to live for.",Pam,Harsh
"Yes, yes, but it shows a bigger picture.",Michael,Harsh
"I can’t believe this place is real. I mean, I’ve heard about his beet farm for years, but wow.",Oscar,Harsh
Happy.,Pam,Harsh
We have missiles too.,Michael,Harsh
Are we ready?,Jim,Harsh
"No, Dwight! Dwight, Jim is sitting next to me. You're gonna sit in the back left where I don't have to see your ugly moongob.",Michael,Harsh
Okay!,Pam,Harsh
Where are you going?,Michael,Harsh
Exactly. Are you sure you're doing that right? Taking an awfully long time.,Michael,Harsh
Oh.,Pam,Harsh
"Dwight has been acting manager for three months now. No. A week. Just feels like three months. Let’s see, we all have to punch in to a time clock, which is very old, very strong, and has a slot about the size of a finger. We were all given new business cards big enough to set us apart from the competition, which is how I learned that our titles are all now Junior Employee. Our lunch breaks are staggered to prevent wasting time. Mine’s at 10:30, and I find that the first hour of the day goes by a lot quicker than the second seven hours.",Oscar,Harsh
"No, that's cool. Sometimes... sometimes I run. I'm a runner.",Michael,Harsh
Bring him the gabba-gool!,Michael,Harsh
Us.,Michael,Harsh
"Uh, yeah.",Jim,Harsh
Okay.,Michael,Harsh
"I think she got it as a tip, but I don’t know why she didn’t just take cash.",Oscar,Harsh
